sample,condition
TCGA-2J-AAB1-01A,Control
TCGA-2J-AABA-01A,Control
TCGA-2L-AAQE-01A,Control
TCGA-2L-AAQI-01A,Control
TCGA-2L-AAQJ-01A,Control
TCGA-2L-AAQL-01A,Control
TCGA-3A-A9IU-01A,Control
TCGA-3E-AAAZ-01A,Control
TCGA-F2-7273-01A,Control
TCGA-F2-7276-01A,Control
TCGA-F2-A44G-01A,Control
TCGA-F2-A7TX-01A,Control
TCGA-FB-A78T-01A,Control
TCGA-FB-A7DR-01A,Control
TCGA-FB-AAPY-01A,Control
TCGA-FB-AAQ1-01A,Control
TCGA-FB-AAQ2-01A,Control
TCGA-FB-AAQ3-01A,Control
TCGA-H6-A45N-01A,Control
TCGA-HV-A5A3-01A,Control
TCGA-HV-A5A6-01A,Control
TCGA-HV-AA8X-01A,Control
TCGA-HZ-7919-01A,Control
TCGA-HZ-7920-01A,Control
TCGA-HZ-7926-01A,Control
TCGA-HZ-8315-01A,Control
TCGA-HZ-8317-01A,Control
TCGA-HZ-8636-01A,Control
TCGA-HZ-8637-01A,Control
TCGA-HZ-8638-01A,Control
TCGA-HZ-A49I-01A,Control
TCGA-IB-7644-01A,Control
TCGA-IB-7645-01A,Control
TCGA-IB-7646-01A,Control
TCGA-IB-7647-01A,Control
TCGA-IB-7649-01A,Control
TCGA-IB-7651-01A,Control
TCGA-IB-7654-01A,Control
TCGA-IB-7887-01A,Control
TCGA-IB-7889-01A,Control
TCGA-IB-7890-01A,Control
TCGA-IB-A5SQ-01A,Control
TCGA-IB-A5SS-01A,Control
TCGA-IB-A7LX-01A,Control
TCGA-IB-AAUO-01A,Control
TCGA-IB-AAUQ-01A,Control
TCGA-LB-A9Q5-01A,Control
TCGA-OE-A75W-01A,Control
TCGA-PZ-A5RE-01A,Control
TCGA-RB-A7B8-01A,Control
TCGA-S4-A8RP-01A,Control
TCGA-US-A779-01A,Control
TCGA-US-A77G-01A,Control
TCGA-US-A77J-01A,Control
TCGA-2J-AAB9-01A,Treatment
TCGA-2J-AABF-01A,Treatment
TCGA-2J-AABV-01A,Treatment
TCGA-3A-A9I9-01A,Treatment
TCGA-3A-A9IC-01A,Treatment
TCGA-FB-A4P5-01A,Treatment
TCGA-HZ-8002-01A,Treatment
TCGA-HZ-8003-01A,Treatment
TCGA-HZ-A77O-01A,Treatment
TCGA-IB-7886-01A,Treatment
TCGA-IB-7891-01A,Treatment
TCGA-IB-7897-01A,Treatment
TCGA-IB-A6UG-01A,Treatment
TCGA-IB-AAUN-01A,Treatment
TCGA-IB-AAUW-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
TCGA-US-A774-01A,Treatment
