sample,condition
TCGA-2J-AAB1-01A,Control
TCGA-2J-AAB6-01A,Control
TCGA-2J-AAB9-01A,Control
TCGA-2J-AABA-01A,Control
TCGA-2J-AABU-01A,Control
TCGA-2J-AABV-01A,Control
TCGA-2L-AAQA-01A,Control
TCGA-2L-AAQI-01A,Control
TCGA-2L-AAQJ-01A,Control
TCGA-3A-A9I9-01A,Control
TCGA-3A-A9IB-01A,Control
TCGA-3A-A9IU-01A,Control
TCGA-3E-AAAZ-01A,Control
TCGA-F2-7276-01A,Control
TCGA-FB-A4P5-01A,Control
TCGA-FB-A5VM-01A,Control
TCGA-FB-A7DR-01A,Control
TCGA-FB-AAPQ-01A,Control
TCGA-FB-AAQ3-01A,Control
TCGA-H6-A45N-01A,Control
TCGA-HV-A5A3-01A,Control
TCGA-HZ-7920-01A,Control
TCGA-HZ-7925-01A,Control
TCGA-HZ-7926-01A,Control
TCGA-HZ-8005-01A,Control
TCGA-HZ-8317-01A,Control
TCGA-HZ-8636-01A,Control
TCGA-HZ-8637-01A,Control
TCGA-HZ-A77O-01A,Control
TCGA-IB-7644-01A,Control
TCGA-IB-7645-01A,Control
TCGA-IB-7646-01A,Control
TCGA-IB-7647-01A,Control
TCGA-IB-7649-01A,Control
TCGA-IB-7654-01A,Control
TCGA-IB-7888-01A,Control
TCGA-IB-7890-01A,Control
TCGA-IB-7891-01A,Control
TCGA-IB-7893-01A,Control
TCGA-IB-7897-01A,Control
TCGA-IB-A5SO-01A,Control
TCGA-IB-A5SS-01A,Control
TCGA-IB-AAUN-01A,Control
TCGA-IB-AAUQ-01A,Control
TCGA-L1-A7W4-01A,Control
TCGA-LB-A9Q5-01A,Control
TCGA-OE-A75W-01A,Control
TCGA-PZ-A5RE-01A,Control
TCGA-S4-A8RP-01A,Control
TCGA-US-A774-01A,Control
TCGA-US-A779-01A,Control
TCGA-US-A77G-01A,Control
TCGA-XD-AAUI-01A,Control
TCGA-2J-AABF-01A,Treatment
TCGA-2L-AAQE-01A,Treatment
TCGA-2L-AAQL-01A,Treatment
TCGA-3A-A9IC-01A,Treatment
TCGA-3A-A9IZ-01A,Treatment
TCGA-F2-6879-01A,Treatment
TCGA-F2-7273-01A,Treatment
TCGA-F2-A7TX-01A,Treatment
TCGA-FB-A545-01A,Treatment
TCGA-FB-A78T-01A,Treatment
TCGA-FB-AAPP-01A,Treatment
TCGA-FB-AAPU-01A,Treatment
TCGA-FB-AAPY-01A,Treatment
TCGA-FB-AAQ0-01A,Treatment
TCGA-FB-AAQ1-01A,Treatment
TCGA-FB-AAQ2-01A,Treatment
TCGA-FB-AAQ6-01A,Treatment
TCGA-HV-A5A6-01A,Treatment
TCGA-HV-AA8X-01A,Treatment
TCGA-HZ-7289-01A,Treatment
TCGA-HZ-7919-01A,Treatment
TCGA-HZ-8002-01A,Treatment
TCGA-HZ-8003-01A,Treatment
TCGA-HZ-8315-01A,Treatment
TCGA-HZ-8638-01A,Treatment
TCGA-HZ-A49I-01A,Treatment
TCGA-IB-7651-01A,Treatment
TCGA-IB-7886-01A,Treatment
TCGA-IB-7887-01A,Treatment
TCGA-IB-7889-01A,Treatment
TCGA-IB-A5SQ-01A,Treatment
TCGA-IB-A6UG-01A,Treatment
TCGA-IB-AAUO-01A,Treatment
TCGA-IB-AAUW-01A,Treatment
TCGA-RB-A7B8-01A,Treatment
TCGA-US-A77E-01A,Treatment
TCGA-US-A77J-01A,Treatment
