,,0
MAGEA12,CSAG1,0.997517687237236
MAGEA4,MAGEB1,0.9963093084695896
MAGEB1,MAGEC2,0.995553925460639
MAGEA4,MAGEA10,0.9945857896919054
MAGEA10,MAGEB1,0.9938665145995442
MAGEB1,CSAG3,0.9932493081264587
MAGEA4,MAGEC2,0.9932191785168559
MAGEA4,CSAG3,0.9930307093257144
MAGEA10,MAGEC2,0.9923453533377123
MAGEA10,CSAG3,0.9921428184952098
MAGEC2,CSAG3,0.9898749968589984
MAGEA3,CSAG1,0.9873395921929421
MAGEA3,MAGEA12,0.9863037154506644
MAGEA3,MAGEA9,0.9790697535207986
MAGEA2B,MAGEA3,0.9769071315180442
MAGEA3,CSAG4,0.9764186360307644
MAGEA9,MAGEA12,0.9760739636507988
MAGEA2B,CSAG4,0.9740717129549505
MAGEA9,CSAG1,0.9740081144606036
MAGEB1,CSAG4,0.9732544419385692
MAGEA2B,MAGEB1,0.9720972859346673
MAGEA2B,CSAG3,0.9697935074641528
CSAG3,CSAG4,0.9685406780396512
MAGEA2B,MAGEA4,0.9673197720009884
MAGEA4,CSAG4,0.9669175323147099
MAGEA9,CSAG4,0.9640871275555299
MAGEA10,CSAG4,0.964044193574343
MAGEA2B,MAGEA10,0.9629042371087312
MAGEC2,CSAG4,0.9623036128117197
MAGEA2B,MAGEC2,0.9614610166380558
